,Date,Tweet
58,2020-01-01 07:01:01,#huistekoop appartement Bouwnummer 11 te #Limmen \u20ac 250.000 v.o.n.
59,2020-01-01 07:01:01,@__superyuya_man \u4eca\u30df\u30fc\u30c4\u30dd\u30fc\u30c8\u306e\u4e0a\u306e\u30c6\u30e9\u30b9\u307f\u305f\u3044\u306a\u3068\u3053\u306b\u3044\u308b\u304b\u3089\u305d\u3053\u305d\u3053\u8fd1\u3044\uff01\uff01\u4eca\u6e96\u5099\u3057\u3066\u308b\u304b\u3089\u3082\u3046\u3061\u3087\u3063\u3068\u3057\u305f\u3089\u3044\u3051\u308b\uff01
60,2020-01-01 07:01:01,@kaineko_0727 \u3048\u307a\uff1f
61,2020-01-01 07:01:01,RT @btsarmykorean2: @BTS_twt \uc0c8\ubcf5\ub9ce \ud83e\udd73\ud83c\udf8a\ud83c\udf89 https:\/\/t.co\/fL5a1FwoOL
62,2020-01-01 07:01:01,RT @BTS_twt: \ud83d\udc9c20 Happy New YEAR 20\ud83d\udc9c https:\/\/t.co\/7J9Kjjc4UZ
63,2020-01-01 07:01:01,RT @syjsone: living the best life award goes to https:\/\/t.co\/8GJ5HopEeq
64,2020-01-01 07:01:01,RT @btsworldwider: Who is in \u201cBTS\u201d that caught locals attentions after they performed on New Year Rockin Eve? \n#NYRE #BTSxRockinEve #BTSatT\u2026
65,2020-01-01 07:01:01,RT @ddaengbabies: HAPPY NEW YEAR JOONIE \nHAPPY NEW YEAR JIN \nHAPPY NEW YEAR YOONGI\nHAPPY NEW YEAR HOBI \nHAPPY NEW YEAR JIMIN \nHAPPY NEW YEA\u2026
66,2020-01-01 07:01:01,\u6570\u306e\u5b50\u98df\u3079\u305f\u3044
67,2020-01-01 07:01:01,@bottybotty1 \u5165\u308c\u3066\u308b\u3093\u3067\u3059\u3051\u3069\u3001\u4e00\u5207\u5f15\u3051\u306a\u304f\u3066\u3001\u3001\u3001www\n\u3069\u3046\u3057\u3088\u3046\u3082\u7121\u304b\u3063\u305f\u3067\u3059\u7b11\u7b11\u7b11
68,2020-01-01 07:01:01,@alwaysrarex No te hagas da\u00f1o porfi
69,2020-01-01 07:01:01,@Suz_fn \u4ffa\u3082\u8cb7\u3063\u305f\u307f\u3087\u3093\u7406\u7531\n\u30d0\u30c3\u30b0\u304c\u6b32\u3057\u304b\u3063\u305f\u304b\u3089\u4ee5\u4e0a\n\u30b9\u30ad\u30f3\u306f\u7279\u306b\u306a\u3057\uff01
70,2020-01-01 07:01:01,\u3010\u307b\u3057\u3044\u7269\u30e9\u30f3\u30ad\u30f3\u30b0\uff08\u30e9\u30ce\u30d9\uff09\u3011\r1\u4f4d\uff1a\u300c\u3053\u306e\u7d20\u6674\u3089\u3057\u3044\u4e16\u754c\u306b\u795d\u798f\u3092\uff01 \u3088\u308a\u307f\u3061\uff01 (\u89d2\u5ddd\u30b9\u30cb\u30fc\u30ab\u30fc\u6587\u5eab)\u300d \u6681 \u306a\u3064\u3081 (\u8457)\u3001\u4e09\u5d8b \u304f\u308d\u306d (\u30a4\u30e9\u30b9\u30c8)\r2\u4f4d\uff1a\u300c\u3088\u3046\u3053\u305d\u5b9f\u529b\u81f3\u4e0a\u4e3b\u7fa9\u306e\u6559\u5ba4\u3078 2\u5e74\u751f\u7de81 (MF\u6587\u5eabJ)\u300d \u8863\u7b20\u2026 https:\/\/t.co\/PwhKcOsU0E
71,2020-01-01 07:01:01,RT @dzi_dm: \ud83d\udc99\ud83d\udc99\ud83d\udc99\u0627\u0644\u0627\u0645\u064a\u0631  \u0646\u0648\u0627\u0641\n\u064a\u0646\u0633\u0628 \u0627\u0644\u0641\u0636\u0644 \u0644\u0623\u0647\u0644\u0647 \u0645\u0627 \u062d\u0627\u0648\u0644 \u064a\u062a\u0642\u0631\u0628 \u0627\u0644\u0649 \u0646\u0627\u0633 \u0627\u0633\u0627\u0621\u0648\u0627 \u0648\u0627\u0636\u0631\u0648 \u0627\u0644\u0647\u0644\u0627\u0644 \n\u0646\u0648\u0627\u0641 \u0628\u0646 \u0633\u0639\u062f \u0645\u062f\u0631\u0633\u0629 \u0628\u0627\u0644\u0643\u0644\u0627\u0645 \u0648\u0627\u0644\u0623\u0641\u0639\u0627\u0644 \u0648\u0627\u0644\u0623\u062e\u0644\u0627\u0642 \u0648\u0627\u0644\u0639\u0645\u0644\u2026
72,2020-01-01 07:01:01,it\u2019s already 1 am but happy new years
73,2020-01-01 07:01:01,RT @beemyhope_: THE WAY HOSEOK DID THAT.... NO WORDS LUV. NO WORDS. #BTSxRockinEve https:\/\/t.co\/fwzywfduln
74,2020-01-01 07:01:01,"@laurenbhdd n\u00e3o, virando o ano encalhado e sozinho, desolado e carente :)"
75,2020-01-01 07:01:01,@frshprincesz @isinhc obrigado eu tava me sentindo bonito hoje
76,2020-01-01 07:01:01,@frshprincesz @isinhc obrigado eu tava me sentindo bonito hoje
